Geography,EffectiveMonth,EffectiveYear,FederalFY,SD_household1,SD_household2,SD_household3,SD_household4,SD_household5,SD_household6more,,ShelterD_all,ShelterD_homeless,,HTML Link,
Virgin Islands,1,2021,FY21,147,147,150,181,212,243,,462,156.74,,https://fns-prod.azureedge.us/sites/default/files/media/file/FY21-COVID-Maximum-Allotments-Deductions.pdf,
CONUS,7,2021,FY21,167,167,167,181,212,243,,586,156.74,,https://fns-prod.azureedge.us/sites/default/files/media/file/FY21-COVID%20ARPA-Maximum-Allotments-Deductions.pdf,
Alaska,7,2021,FY21,286,286,286,286,286,304,,936,156.74,,https://fns-prod.azureedge.us/sites/default/files/media/file/FY21-COVID%20ARPA-Maximum-Allotments-Deductions.pdf,
Hawaii,7,2021,FY21,336,336,336,363,425,487,,688,156.74,,https://fns-prod.azureedge.us/sites/default/files/media/file/FY21-COVID%20ARPA-Maximum-Allotments-Deductions.pdf,
Guam,7,2021,FY21,236,236,236,236,244,280,,790,156.74,,https://fns-prod.azureedge.us/sites/default/files/media/file/FY21-COVID%20ARPA-Maximum-Allotments-Deductions.pdf,
Virgin Islands,7,2021,FY21,147,147,150,181,212,243,,462,156.74,,https://fns-prod.azureedge.us/sites/default/files/media/file/FY21-COVID%20ARPA-Maximum-Allotments-Deductions.pdf,
CONUS,10,2021,FY22,177,177,177,184,215,246,,597,159.73,,https://fns-prod.azureedge.us/sites/default/files/media/file/FY22-Maximum-Allotments-Deductions.pdf,
Alaska,10,2021,FY22,303,303,303,303,303,308,,954,159.73,,https://fns-prod.azureedge.us/sites/default/files/media/file/FY22-Maximum-Allotments-Deductions.pdf,
Hawaii,10,2021,FY22,356,356,356,367,430,493,,701,159.73,,https://fns-prod.azureedge.us/sites/default/files/media/file/FY22-Maximum-Allotments-Deductions.pdf,
Guam,10,2021,FY22,250,250,250,250,250,283,,805,159.73,,https://fns-prod.azureedge.us/sites/default/files/media/file/FY22-Maximum-Allotments-Deductions.pdf,
Virgin Islands,10,2021,FY22,156,156,156,184,215,246,,471,159.73,,https://fns-prod.azureedge.us/sites/default/files/media/file/FY22-Maximum-Allotments-Deductions.pdf,
CONUS,10,2022,FY23,193,193,193,193,225,258,,624,166.81,,https://fns-prod.azureedge.us/sites/default/files/resource-files/FY23-Maximum-Allotments-Deductions.pdf,
Alaska,10,2022,FY23,330,330,330,330,330,330,,996,166.81,,https://fns-prod.azureedge.us/sites/default/files/resource-files/FY23-Maximum-Allotments-Deductions.pdf,
Hawaii,10,2022,FY23,387,387,387,387,450,515,,732,166.81,,https://fns-prod.azureedge.us/sites/default/files/resource-files/FY23-Maximum-Allotments-Deductions.pdf,
Guam,10,2022,FY23,272,272,272,272,272,296,,840,166.81,,https://fns-prod.azureedge.us/sites/default/files/resource-files/FY23-Maximum-Allotments-Deductions.pdf,
Virgin Islands,10,2022,FY23,170,170,170,192,225,258,,492,166.81,,https://fns-prod.azureedge.us/sites/default/files/resource-files/FY23-Maximum-Allotments-Deductions.pdf,
CONUS,10,2023,FY24,198,198,198,208,244,279,,672,179.66,,https://fns-prod.azureedge.us/sites/default/files/media/file/FY24-Maximum-Allotments-and-Deductions.pdf,
Alaska,10,2023,FY24,338,338,338,338,338,349,,1073,179.66,,https://fns-prod.azureedge.us/sites/default/files/media/file/FY24-Maximum-Allotments-and-Deductions.pdf,
Hawaii,10,2023,FY24,397,397,397,416,487,558,,789,179.66,,https://fns-prod.azureedge.us/sites/default/files/media/file/FY24-Maximum-Allotments-and-Deductions.pdf,
Guam,10,2023,FY24,279,279,279,279,280,321,,905,179.66,,https://fns-prod.azureedge.us/sites/default/files/media/file/FY24-Maximum-Allotments-and-Deductions.pdf,
Virgin Islands,10,2023,FY24,174,174,174,208,244,279,,529,179.66,,https://fns-prod.azureedge.us/sites/default/files/media/file/FY24-Maximum-Allotments-and-Deductions.pdf,
CONUS,10,2024,FY25,204,204,204,217,254,291,,712,190.30,,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-cola-fy25.pdf,
Alaska,10,2024,FY25,348,348,348,348,348,364,,1137,190.30,,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-cola-fy25.pdf,
Hawaii,10,2024,FY25,287,287,287,287,292,335,,959,190.30,,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-cola-fy25.pdf,
Guam,10,2024,FY25,409,409,409,432,507,581,,835,190.30,,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-cola-fy25.pdf,
Virgin Islands,10,2024,FY25,180,180,180,217,254,291,,561,190.30,,https://fns-prod.azureedge.us/sites/default/files/resource-files/snap-cola-fy25.pdf,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
